,date,costofrevenue,epsbasic,epsdiluted,grossprofit,netincome,operatingincome,other,researchanddevelopment,sga,sharesoutstandingbasic,sharesoutstandingdiluted,taxexpensecredit,totalrevenue,ticker,interestexpense,interestincome,nonrecurringitems,depreciationamortization,minorityinterest,incometaxexpense
248,2023-09-30,-4238000000.0,,,,69800.0,3103000000000000.0,6217557000000000.0,,387000000.0,,,-638000000.0,7341000000000000.0,BKNG,-254000000.0,0.0,300000000.0,129000000.0,,
249,2023-06-30,-3789000000.0,,,,34890.0,1673000000000000.0,4388642000000000.0,,304000000.0,,,-328000000.0,5462000000000000.0,BKNG,-241000000.0,0.0,186000000.0,121000000.0,,
250,2023-03-31,-3328000000.0,,,,7000.0,450000000000000.0,2754604000000000.0,,289000000.0,,,-37000000.0,3778000000000000.0,BKNG,-194000000.0,0.0,47000000.0,120000000.0,,
251,2022-09-30,-3469000000.0,,,,41980.0,2583000000000000.0,4813235000000000.0,,262000000.0,,,-510000000.0,6052000000000000.0,BKNG,-102000000.0,0.0,-305000000.0,109000000.0,,
252,2024-09-30,,,,,1631000000000000.0,2265000000000000.0,1675600000000000.0,,562000000.0,,,-574000000.0,5197000000000000.0,BLK,-154000000.0,236000000.0,,0.0,,
253,2024-09-30,2957000000000000.0,,,,1211000000000000.0,,-6794999998.8,2374000000000000.0,0.0,,,-461000000.0,1.1892e+16,BMY,,,,,,
254,2024-06-30,3267000000000000.0,,,,1680000000000000.0,,-7579999998.34,2899000000000000.0,0.0,,,0.0,1.2201e+16,BMY,,,,,,
255,2024-03-31,2932000000000000.0,,,,-1.1911e+16,,-32614000011.78,2695000000000000.0,0.0,,,-392000000.0,1.1865e+16,BMY,,,,,,
256,2023-09-30,2506000000000000.0,,,,1928000000000000.0,,-4436999998.13,2242000000000000.0,0.0,,,-203000000.0,1.0966e+16,BMY,,,,,,
257,2023-06-30,2876000000000000.0,,,,2073000000000000.0,,-5243999998.02,2258000000000000.0,0.0,,,0.0,1.1226e+16,BMY,,,,,,
258,2023-03-31,2566000000000000.0,,,,2262000000000000.0,,-3626999997.8500004,2321000000000000.0,0.0,,,-503000000.0,1.1337e+16,BMY,,,,,,
259,2022-09-30,2353000000000000.0,,,,1606000000000000.0,,-4731999998.5,2418000000000000.0,0.0,,,-601000000.0,1.1218e+16,BMY,,,,,,
260,2024-09-30,,,,,2.6251018272e+16,,4.7181436706e+16,,7324000000000000.0,,,-6028000000.0,1.23318e+17,BRK-B,102000000.0,,,,,
261,2024-06-30,,,,,3.034800001408e+16,,6.4669185283e+16,,5195000000000000.0,,,-7639000000.0,1.24044e+17,BRK-B,119000000.0,,,,,
262,2024-03-31,,,,,1.270200000588e+16,,-1.3624944866e+16,,4773000000000000.0,,,-2874000000.0,1.19264e+17,BRK-B,96000000.0,,,,,
263,2023-09-30,,,,,-1.2767008824e+16,,-1.03197553075e+17,,5120000000000000.0,,,4392000000.0,1.24259e+17,BRK-B,949000000.0,,,,,
264,2023-06-30,,,,,3.5912000016519996e+16,,8.615931367e+16,,5005000000000000.0,,,-9236000000.0,1.23124e+17,BRK-B,935000000.0,,,,,
265,2023-03-31,,,,,3.5504024377e+16,,7.2936456438e+16,,5602000000000000.0,,,-8995000000.0,1.15712e+17,BRK-B,114000000.0,,,,,
266,2022-09-30,,,,,-2688001832000000.0,,-4.9108533054e+16,,4068000000000000.0,,,1529000000.0,1.08226e+17,BRK-B,297000000.0,,,,,
267,2024-09-30,-1312000000.0,,,2897000000000000.0,320.0,733000000.0,1666100000000000.0,407000000.0,1562000000000000.0,,,-200000000.0,4209000000000000.0,BSX,-79000000.0,,8000000.0,,,
268,2024-06-30,-1270000000.0,,,2850000000000000.0,220.0,520000000.0,1245800000000000.0,383000000.0,1446000000000000.0,,,-98000000.0,4120000000000000.0,BSX,-77000000.0,,277000000.0,,,
