,date,accountspayable,accountsreceivable,accumulatedothercomprehensiveincome,cashandcashequivalents,commonstock,inventory,other,othercurrentassets,othercurrentliabilities,propertyplantequipmentnet,retainedearnings,shortterminvestments,totalassets,totalcurrentassets,totalcurrentliabilities,totalequity,totalliabilities,totalliabilitiesandequity,ticker,additionalpaidincapital,deferredincometaxes,goodwill,intangibleassetsnet,longtermdebt,noncontrollinginterest,othernoncurrentassets,prepaidexpenses,shorttermdebt,accruedexpenses,deferredtaxassetsnoncurrent,preferredstock,treasurystock,othernoncurrentliabilities,longterminvestments
13,2022-09-30,2.3505e+16,1.0743e+16,-3443000000.0,1.1832e+16,-4572000000.0,3172000000000000.0,235000000.0,,,4893000000000000.0,4953000000.0,47000000.0,1.41325e+17,3.0364e+16,3.2712e+16,3.2021e+16,1.7154e+17,,ABBV,1.9056e+16,1972000000000000.0,3.1726e+16,6.8725e+16,6.0399e+16,33000000.0,5382000000000000.0,4570000000000000.0,9207000000000000.0,,,,,,
14,2024-09-30,3106000000.0,,-47000000.0,7670000000000000.0,0.0,,1.096e+16,493000000.0,,0.0,,3583000000000000.0,2.4773e+16,1.8319e+16,1.1336e+16,8488000000000000.0,1.4038e+16,2.2172e+16,ABNB,1.2378e+16,,783000000.0,0.0,1994000000000000.0,,469000000.0,,0.0,0.0,0.0,,,,
15,2024-06-30,2865000000.0,,-5000000.0,7882000000000000.0,0.0,,1.9196e+16,659000000.0,,0.0,,3369000000000000.0,2.9145e+16,2.2252e+16,1.5828e+16,8002000000000000.0,1.8815e+16,2.632e+16,ABNB,1.2116e+16,,783000000.0,0.0,1993000000000000.0,,460000000.0,,0.0,0.0,0.0,,,,
16,2024-03-31,2968000000.0,,-9000000.0,7829000000000000.0,0.0,,1.5994e+16,563000000.0,,0.0,,3264000000000000.0,2.7423e+16,2.0393e+16,1.4139e+16,7896000000000000.0,1.7151e+16,2.4537e+16,ABNB,1.1819e+16,,786000000.0,0.0,1992000000000000.0,,472000000.0,,0.0,0.0,0.0,,,,
17,2023-09-30,163000000.0,,-5000000.0,8175000000000000.0,0.0,,1.1115e+16,575000000.0,,147000000.0,,2787000000000000.0,2.4337e+16,1.7523e+16,9821000000000000.0,9123000000000000.0,1.2821e+16,2.1439e+16,ABNB,1.1452e+16,,676000000.0,0.0,1990000000000000.0,,195000000.0,,0.0,2205000000000000.0,0.0,,,,
18,2023-06-30,100000000.0,,-33000000.0,7905000000000000.0,0.0,,1.4437e+16,568000000.0,,132000000.0,,2435000000000000.0,2.1319e+16,2.0052e+16,1.3624e+16,5059000000000000.0,1.6645e+16,2.1188e+16,ABNB,1.129e+16,,679000000.0,0.0,1989000000000000.0,,194000000.0,,0.0,2033000000000000.0,0.0,,,,
19,2023-03-31,161000000.0,,-30000000.0,8166000000000000.0,0.0,,1.1351e+16,515000000.0,,122000000.0,,2428000000000000.0,2.0156e+16,1.8869e+16,1.2212e+16,5291000000000000.0,1.5254e+16,2.0018e+16,ABNB,1.1662e+16,,682000000.0,0.0,1988000000000000.0,,207000000.0,,0.0,2119000000000000.0,0.0,,,,
20,2022-09-30,152661000.0,,-41871000.0,7525208000000000.0,63000.0,,5047617000000000.0,432036000.0,,118459000.0,,2103898000000000.0,1.6230807e+16,1.4866524e+16,8015327000000000.0,5540136000000000.0,1.1124246e+16,1.607659e+16,ABNB,1.1365347e+16,,646527000.0,38154000.0,1985659000000000.0,,252709000.0,,0.0,1784704000000000.0,0.0,,,,
21,2024-09-30,4034000000000000.0,,-7804000000.0,7558000000000000.0,8544000000000000.0,6813000000000000.0,9.53e+16,,,2.2857e+16,,230000000.0,7.4356e+16,2.3802e+16,1.4902e+16,4.0028e+16,7.4356e+16,,ABT,,,2.3658e+16,7352000000000000.0,1.2825e+16,232000000.0,8011000000000000.0,,2154000000000000.0,5427000000000000.0,,0.0,,,
22,2024-06-30,4125000000000000.0,,-8135000000.0,6987000000000000.0,9099000000000000.0,6814000000000000.0,9.3571e+16,,,2.2061e+16,,232000000.0,7.3017e+16,2.3119e+16,1.376e+16,3.956e+16,7.3017e+16,,ABT,,,2.3308e+16,7827000000000000.0,1.3139e+16,242000000.0,7653000000000000.0,,1615000000000000.0,5071000000000000.0,,0.0,,,
23,2024-03-31,4178000000000000.0,,-8166000000.0,6284000000000000.0,8965000000000000.0,6827000000000000.0,9.1843e+16,,,2.2055e+16,,367000000.0,7.2467e+16,2.2376e+16,1.4021e+16,3.9043e+16,7.2467e+16,,ABT,,,2.3383e+16,8296000000000000.0,1.2576e+16,233000000.0,7487000000000000.0,,2010000000000000.0,5220000000000000.0,,0.0,,,
24,2023-09-30,3961000000000000.0,,-8480000000.0,6709000000000000.0,9041000000000000.0,6650000000000000.0,8.9014e+16,,,2.1111e+16,,338000000.0,7.209e+16,2.2664e+16,1.3042e+16,3.7694e+16,7.209e+16,,ABT,,,2.3277e+16,9282000000000000.0,1.4477e+16,213000000.0,6527000000000000.0,,1051000000000000.0,5347000000000000.0,,0.0,,,
25,2023-06-30,4211000000000000.0,,-8071000000.0,7835000000000000.0,8890000000000000.0,6871000000000000.0,8.7864e+16,,,2.0926e+16,,320000000.0,7.3354e+16,2.3505e+16,1.435e+16,3.7404e+16,7.3354e+16,,ABT,,,2.3258e+16,9834000000000000.0,1.4562e+16,230000000.0,6509000000000000.0,,2284000000000000.0,5334000000000000.0,,0.0,,,
26,2023-03-31,4167000000000000.0,,-8039000000.0,9161000000000000.0,9181000000000000.0,6673000000000000.0,8.6626e+16,,,2.0605e+16,,371000000.0,7.3794e+16,2.4377e+16,1.453e+16,3.7232e+16,7.3794e+16,,ABT,,,2.2927e+16,1.0006e+16,1.4615e+16,222000000.0,6426000000000000.0,,2285000000000000.0,5758000000000000.0,,0.0,,,
27,2022-09-30,4133000000000000.0,,-9445000000.0,9594000000000000.0,1.0005e+16,5734000000000000.0,8.4408e+16,,,1.9306e+16,,313000000.0,7.2801e+16,2.4845e+16,1.3365e+16,3.5884e+16,7.2801e+16,,ABT,,,2.2284e+16,1.085e+16,1.5297e+16,209000000.0,5369000000000000.0,,1117000000000000.0,5475000000000000.0,,0.0,,,
28,2025-02-28,2614866000000000.0,,-2308430000.0,8490438000000000.0,,,1.3832864e+16,2530858000000000.0,,1510841000000000.0,2.5209996e+16,5062000.0,6.6568911e+16,3.5979104e+16,1.3634154e+16,5.9428001e+16,2211882000000000.0,5.9869756e+16,ACN,1.6685363e+16,451648000.0,2.0948597e+16,,5042111000.0,935895000.0,,,115179000.0,1554918000000000.0,,,-12324187000.0,,
29,2024-11-30,2579165000000000.0,,-2049394000.0,8306055000000000.0,,,1.444392e+16,2312495000000000.0,,1507460000000000.0,2.4402568e+16,5150000.0,6.6775063e+16,3.6050107e+16,1.3546579e+16,5.9292918e+16,2282652000000000.0,5.986807e+16,ACN,1.5364338e+16,453066000.0,2.0868911e+16,,5039460000.0,911928000.0,,,114321000.0,1605968000000000.0,,,-11304512000.0,,
30,2024-05-31,2251330000000000.0,,-1755244000.0,5537217000000000.0,,,1.3872142e+16,2333935000000000.0,,1451599000000000.0,2.2242224e+16,4878000.0,6.0922553e+16,3.4240971e+16,8159478000000000.0,5.6364231e+16,2242156000000000.0,5.4141319e+16,ACN,1.5013157e+16,516745000.0,1.9842707e+16,,68878000.0,875253000.0,,,1610025000.0,1392559000000000.0,,,-9997842000.0,,
31,2024-02-29,2228446000000000.0,,-1657140000.0,5121107000000000.0,,,1.0568751e+16,2122670000000000.0,,1458836000000000.0,2.1151637e+16,4540000.0,5.8167745e+16,3.4636235e+16,8051922000000000.0,5.5079277e+16,2293252000000000.0,5.1307471e+16,ACN,1.4555758e+16,454496000.0,1.7947306e+16,,71635000.0,833571000.0,,,111141000.0,1374109000000000.0,,,-8790812000.0,,
32,2023-11-30,2574700000000000.0,,-1627215000.0,7140841000000000.0,,,1.1882149e+16,2668779000000000.0,,1467896000000000.0,2.0429413e+16,4597000.0,5.839472e+16,3.135817e+16,7228209000000000.0,5.4162188e+16,2249466000000000.0,5.1531354e+16,ACN,1.3353477e+16,415386000.0,1.6236442e+16,,42309000.0,808686000.0,,,104819000.0,1441090000000000.0,,,-8032018000.0,,
33,2023-05-31,2388474000000000.0,,-1900923000.0,8535446000000000.0,,,1.1297188e+16,2257485000000000.0,,1534927000000000.0,1.8692118e+16,4482000.0,5.7043958e+16,2.9556253e+16,7513176000000000.0,5.139436e+16,2351375000000000.0,5.0128275e+16,ACN,1.2637709e+16,402984000.0,1.4461094e+16,,43865000.0,729498000.0,,,10389000.0,1580416000000000.0,,,-6127121000.0,,
34,2023-02-28,2470896000000000.0,,-1944270000.0,6238787000000000.0,,,1.07684e+16,2318814000000000.0,,1560691000000000.0,1.7500001e+16,4189000.0,5.4759038e+16,2.9373791e+16,7361459000000000.0,4.8219897e+16,2451961000000000.0,4.7727289e+16,ACN,1.2163671e+16,364510000.0,1.4190658e+16,,45155000.0,694659000.0,,,10815000.0,1544993000000000.0,,,-5593010000.0,,
35,2025-02-28,326000000.0,1973000000000000.0,-158000000.0,6758000000000000.0,0.0,,7571000000000000.0,,,1893000000000000.0,4.0186e+16,677000000.0,3.0221e+16,1.0855e+16,9163000000000000.0,1.3095e+16,1.7692e+16,2.9955e+16,ADBE,1.3894e+16,1820000000000000.0,1.2777e+16,,,,1638000000000000.0,1447000000000000.0,,1951000000000000.0,,0.0,-40827000000.0,,
36,2024-08-30,318000000.0,1802000000000000.0,-309000000.0,7193000000000000.0,0.0,,5698000000000000.0,,,1969000000000000.0,3.6911e+16,322000000.0,3.0198e+16,1.0716e+16,9644000000000000.0,1.4545e+16,1.6086e+16,2.983e+16,ADBE,1.3026e+16,1548000000000000.0,1.2814e+16,,,,1557000000000000.0,1399000000000000.0,,1848000000000000.0,,0.0,-35083000000.0,,
