,cik_str,ticker
332,715153,HMC
333,1674101,VRT
334,1037868,AME
335,1269238,TCOM
336,874716,IDXX
337,1650107,CCEP
338,797468,OXY
339,37996,F
340,4447,HES
341,1561550,DDOG
342,917851,VALE
343,1035002,VLO
344,1539838,FANG
345,1041061,YUM
346,814547,FICO
347,72903,XEL
348,1058290,CTSH
349,1471055,BSBR
350,1713683,ZS
351,1323404,WPM
352,1446705,NTDTY
353,788784,PEG
354,1121788,GRMN
355,1565025,ABEV
356,1393052,VEEV
357,1397187,LULU
358,1512673,XYZ
359,915191,FRFHF
360,1468522,FER
361,1781335,OTIS
362,1671933,TTD
363,1690820,CVNA
364,1178670,ALNY
365,1004980,PCG
366,1158838,ATEYY
367,1138118,CBRE
368,49938,IMO
369,874766,HIG
370,1047862,ED
371,712515,EA
372,1137774,PRU
373,2011641,FERG
374,721371,CAH
375,1701605,BKR
376,1097362,SLF
377,1885110,CHLSY
378,65984,ETR
379,882184,DHI
380,943819,RMD
381,1697862,ARGX
382,46619,HEI
383,850918,GWLIF
384,1024478,ROK
385,947484,ACGL
386,96021,SYY
387,1389170,TRGP
388,1396009,VMC
389,943452,WAB
390,878927,ODFL
391,1132924,CHT
392,1041130,DIA
393,1093557,DXCM
394,749251,IT
395,783325,WEC
396,1705696,VICI
397,916076,MLM
398,1065088,EBAY
399,33213,EQT
400,1699150,IR
401,756894,B
402,1289490,EXR
403,1404655,HUBS
404,1618756,QSR
405,1335258,LYV
406,33185,EFX
407,1456346,FNV
408,1932393,GEHC
409,1280452,MPWR
410,79282,BRO
411,16918,STZ
412,1090872,A
413,1758730,TW
414,27904,DAL
415,47111,HSY
416,1057352,CSGP
417,1637459,KHC
418,827054,MCHP
419,815097,CCL
420,1140536,WTW
421,1397911,LPLA
422,1524472,XYL
423,1013871,NRG
424,936958,MDY
425,2021390,GALDY
426,1123799,WIT
427,1013462,ANSS
428,1038683,RYAAY
429,814052,TEF
430,720005,RJF
431,1605484,STLA
432,36270,MTB
433,40704,GIS
434,1725964,NTR
435,1823945,OWL
436,924613,NOK
437,1116578,PUK
438,717826,ERIC
439,740260,VTR
440,1989183,DSFIY
441,915912,AVB
442,2007855,VG
443,1329099,BIDU
444,1020569,IRM
445,1300514,LVS
446,55067,K
447,1666700,DD
448,1791706,LI
449,1383650,CQP
450,1811074,TPL
451,1383312,BR
452,1071739,CNC
453,936340,DTE
454,1601046,KEYS
455,11544,WRB
456,1651308,ONC
457,93751,STT
458,920760,LEN
459,84839,ROL
460,49071,HUM
461,895126,EXE
462,1533473,AMKBY
463,1410636,AWK
464,1160330,BBD
465,1744676,TME
466,1050952,PUBGY
467,1445930,KB
468,844551,WDS
469,800365,FUJIY
470,906107,EQR
471,1009001,CCJ
472,1642896,IOT
473,916365,TSCO
474,1805284,RKT
475,47217,HPQ
476,1002910,AEE
477,1446437,YAHOY
478,839923,VOD
479,1125259,CUK
480,1609711,GDDY
481,35527,FITB
482,1375365,SMCI
483,73309,NUE
484,1014473,VRSN
485,51434,IP
486,100517,UAL
487,922224,PPL
488,79879,PPG
489,1967680,VLTO
490,1137789,STX
491,940944,DRI
492,1437107,WBD
493,860731,TYL
494,29905,DOV
495,1475260,CVE
496,1650164,TOST
497,1511737,UI
498,731802,ATO
499,1015922,CHKP
500,1034054,SBAC
501,868675,TU
502,798941,FCNCA
503,1659166,FTV
504,1402057,CDW
505,1061574,GIB
506,1130310,CNP
507,1754301,FOXA
508,313927,CHD
509,1096343,MKL
510,1037646,MTD
511,1757898,STE
512,1666175,FTS
513,1585521,ZM
514,1478242,IQV
515,1001250,EL
516,1562088,DUOL
517,1070304,IX
518,1374310,CBOE
519,1031296,FE
520,2018139,TYHOY
521,1243429,MT
522,1776985,BNTX
523,1175454,CPAY
524,1645590,HPE
525,7084,ADM
526,20286,CINF
527,1094285,TDY
528,72741,ES
529,2005951,SW
530,1764757,DIDIY
531,1145197,PODD
532,1158967,NJDCY
